system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,sm_surface,.geo
0_0,15275.805555555555,3993.5434782608695,0.21803878,0.26939702,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4715855463424,22.929497627150788]}"
1_0,15370.191780821919,2146.2391304347825,0.098047145,0.13673615,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59734968611913,23.010346002721544]}"
2_0,15319.638888888889,5038.326086956522,0.23837967,0.31352273,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44463608781881,23.082211225451108]}"
3_0,15282.972222222223,4663.739130434783,0.22345947,0.28987095,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51650131054838,22.911531321468395]}"
4_0,15359.888888888889,4390.978260869565,0.1751678,0.2665634,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.39073717077164,23.03729546124513]}"
5_0,15378.59420289855,4557.565217391304,0.22215691,0.29086566,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68718121453108,23.109160683974693]}"
6_0,15344.777777777777,2464.391304347826,0.10123954,0.11473478,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57040022759554,23.001362849880348]}"
7_0,15380.424657534246,2128.413043478261,0.100723416,0.14102146,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60633283896033,23.010346002721544]}"
8_0,15313.295774647888,3860.413043478261,0.18917634,0.25536832,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.028312308403933]}"
9_0,15361.527777777777,1720.391304347826,0.082270145,0.10246786,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.010346002721544]}"
10_0,15379.188405797102,1396.6304347826087,0.074504055,0.068995774,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64226545032511,23.001362849880348]}"
11_0,15367.876712328767,1380.2391304347825,0.07182078,0.05952312,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.028312308403933]}"
12_0,15375.771428571428,4394.195652173913,0.20966773,0.2587648,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.69616436737228,23.001362849880348]}"
13_0,15270.653333333334,4426.695652173913,0.20974636,0.28306305,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64226545032511,22.86661555726242]}"
14_0,15377.308823529413,4301.847826086957,0.19810863,0.3024765,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72311382589587,23.109160683974693]}"
15_0,15426.25352112676,3931.521739130435,0.1768037,0.23526908,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.100177531133497]}"
16_0,15378.666666666666,3194.8478260869565,0.12840664,0.17285831,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.118143836815886]}"
17_0,15388.084507042253,3303.8695652173915,0.16326308,0.18461342,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6602317560075,22.956447085674373]}"
18_0,15356.166666666666,3519.5,0.17053537,0.23351336,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4715855463424,23.010346002721544]}"
19_0,15327.90410958904,4376.152173913043,0.21205167,0.27856204,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43565293497763,23.064244919768715]}"
20_0,15371.685714285713,4127.130434782609,0.17252102,0.22513859,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6602317560075,23.118143836815886]}"
21_0,15348.541666666666,3540.7391304347825,0.19389817,0.2908038,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4626023935012,22.98339654419796]}"
22_0,15261.146666666667,4426.5,0.21667463,0.277773,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65124860316631,22.86661555726242]}"
23_0,15345.352112676057,2660.586956521739,0.15688707,0.18174146,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4626023935012,23.01932915556274]}"
24_0,15323.351351351352,4099.130434782609,0.19034953,0.24707213,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65124860316631,22.88458186294481]}"
25_0,15339.739726027397,1970.6521739130435,0.09809042,0.10626499,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53446761623077,23.05526176692752]}"
26_0,15331.430555555555,2863.1304347826085,0.13481171,0.19988976,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.05526176692752]}"
27_0,15354.614285714286,4416.891304347826,0.24946235,0.33608755,0.14707375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51650131054838,23.19000905954545]}"
28_0,15330.57142857143,2942.8260869565215,0.17774588,0.20815177,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.03729546124513]}"
29_0,15361.492957746479,3109.7391304347825,0.1575345,0.1878622,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4626023935012,23.010346002721544]}"
30_0,15338.671232876712,4087.6739130434785,0.19473895,0.2147833,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44463608781881,23.05526176692752]}"
31_0,15332.694444444445,1981.4565217391305,0.10220786,0.14158618,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57938338043674,23.05526176692752]}"
32_0,15286.194444444445,4000.8695652173915,0.19938588,0.23482232,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48955185202479,22.911531321468395]}"
33_0,15340.085714285715,4185.021739130435,0.19776191,0.2677132,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.010346002721544]}"
34_0,15344.739726027397,2198.3260869565215,0.12078545,0.1317792,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53446761623077,23.046278614086326]}"
35_0,15361.352112676057,4344.413043478261,0.20464283,0.25941074,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,23.14509329533947]}"
36_0,15346.611111111111,4667.54347826087,0.20623392,0.2873828,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.67819806168988,22.947463932833177]}"
37_0,15389.506849315068,3912.021739130435,0.15696701,0.2369491,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59734968611913,23.127126989657082]}"
38_0,15372.0,4211.391304347826,0.21640114,0.23971167,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59734968611913,23.172042753863057]}"
39_0,15319.534246575342,4221.891304347826,0.20111698,0.24778873,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,22.956447085674373]}"
40_0,15363.605633802817,2954.891304347826,0.16896506,0.19524935,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.001362849880348]}"
41_0,15392.833333333334,3636.4565217391305,0.16583765,0.22785433,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.39073717077164,23.001362849880348]}"
42_0,15322.61971830986,4909.239130434783,0.2342296,0.29128572,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48056869918359,23.172042753863057]}"
43_0,15381.972222222223,4246.304347826087,0.16928878,0.24965064,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48056869918359,23.0911943782923]}"
44_0,15304.133333333333,4575.630434782609,0.20466727,0.26994133,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.39972032361284,23.07322807260991]}"
45_0,15386.471428571429,4296.04347826087,0.20989229,0.28132123,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.69616436737228,23.010346002721544]}"
46_0,15360.527777777777,2989.4347826086955,0.11855279,0.19205418,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.07322807260991]}"
47_0,15415.74647887324,2076.478260869565,0.09569519,0.10466802,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.62429914464272,23.010346002721544]}"
48_0,15338.671232876712,4087.6739130434785,0.19473895,0.2147833,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44463608781881,23.05526176692752]}"
49_0,15364.385714285714,3481.304347826087,0.19115558,0.21367154,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.54345076907197,23.154076448180668]}"
50_0,15404.527777777777,3401.8260869565215,0.14987138,0.19449456,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4715855463424,23.109160683974693]}"
51_0,15355.869565217392,1448.3478260869565,0.083272316,0.07226091,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.55243392191316,23.07322807260991]}"
52_0,15345.25,1941.5652173913043,0.102780074,0.0957863,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51650131054838,23.010346002721544]}"
53_0,15333.864864864865,4749.413043478261,0.23037851,0.29194808,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.42666978213643,22.96543023851557]}"
54_0,15394.549295774648,2359.6521739130435,0.11595245,0.14108674,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61531599180152,22.956447085674373]}"
55_0,15365.082191780823,3606.4347826086955,0.17731452,0.23890191,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.064244919768715]}"
56_0,15297.055555555555,4363.652173913043,0.2168795,0.31961292,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48955185202479,22.938480779991984]}"
57_0,15383.557142857142,3786.0434782608695,0.19242512,0.22820124,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70514752021347,22.992379697039155]}"
58_0,15355.633802816901,1629.5434782608695,0.09805243,0.096315354,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,22.992379697039155]}"
59_0,15394.394366197183,2164.086956521739,0.10275775,0.11873115,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60633283896033,22.956447085674373]}"
60_0,15319.777777777777,2072.913043478261,0.10450787,0.119973265,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57040022759554,23.010346002721544]}"
