system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_01_0_0,15051,4352.608695652174,0.2264628,0.29772645,2022-01-01,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47508660029104,22.924173626312708]}"
2022_01_01_1_0,15019,2146.2391304347825,0.11274812,0.12140589,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60148469173042,23.01410568553873]}"
2022_01_01_2_0,14987,5038.326086956522,0.22990647,0.29937533,2022-01-01,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43991853982017,23.07705812699695]}"
2022_01_01_3_0,14950,4639.021739130435,0.21172163,0.2841223,2022-01-01,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51428496169284,22.906187214467504]}"
2022_01_01_4_0,15026,4357.652173913043,0.18375841,0.24035715,2022-01-01,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.39124171097743,23.041085303306538]}"
2022_01_01_5_0,15018,4557.565217391304,0.20842877,0.3279705,2022-01-01,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68421137325066,23.113030950687353]}"
2022_01_01_6_0,14996,2084.717391304348,0.11972634,0.12559368,2022-01-01,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.56249989602284,22.996119273693527]}"
2022_01_01_7_0,14994,2043.7826086956522,0.103444286,0.17074494,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60641568244475,23.00511247961613]}"
2022_01_01_8_0,15022,3491.891304347826,0.19112115,0.22878009,2022-01-01,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4939042288539,23.03209209738393]}"
2022_01_01_9_0,15023,1720.391304347826,0.08897482,0.07903232,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59171380777985,23.01410568553873]}"
2022_01_01_10_0,15025,1396.6304347826087,0.067142755,0.06433361,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64549661313927,23.00511247961613]}"
2022_01_01_11_0,15010,1842.9782608695652,0.07321303,0.06879596,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58678329668841,23.023098891461334]}"
2022_01_01_12_0,15014,4229.630434782609,0.2025676,0.2769266,2022-01-01,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.69927404016167,22.996119273693527]}"
2022_01_01_13_0,15138,4005.6739130434785,0.20457318,0.2218459,2022-01-01,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65123495741969,22.870214390777093]}"
2022_01_01_14_0,15016,4283.652173913043,0.19112176,0.23801564,2022-01-01,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71845301046318,23.104037744764746]}"
2022_01_01_15_0,15037,3555.195652173913,0.17194562,0.1742261,2022-01-01,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49357247113771,23.104037744764746]}"
2022_01_01_16_0,15057,2621.891304347826,0.13627352,0.1475778,2022-01-01,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58151586476549,23.122024156609953]}"
2022_01_01_17_0,15075,3721.1521739130435,0.16326308,0.18628092,2022-01-01,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.66038855703862,22.960146450003116]}"
2022_01_01_18_0,14987,3519.5,0.15200542,0.21029116,2022-01-01,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47446320037318,23.01410568553873]}"
2022_01_01_19_0,14992,4058.1521739130435,0.19503741,0.24921349,2022-01-01,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44000866791028,23.05907171515174]}"
2022_01_01_20_0,15010,3620.391304347826,0.18925665,0.24073209,2022-01-01,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65974566359348,23.122024156609953]}"
2022_01_01_21_0,14871,3933.3478260869565,0.19620468,0.23889858,2022-01-01,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45515467080062,22.97813286184832]}"
2022_01_01_22_0,15105,4426.695652173913,0.20949808,0.3141223,2022-01-01,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6464261642742,22.8612211848545]}"
2022_01_01_23_0,15076,3109.7391304347825,0.1507043,0.19814895,2022-01-01,0.14768457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.46469231642263,23.01410568553873]}"
2022_01_01_24_0,15151,4099.130434782609,0.17893349,0.21856867,2022-01-01,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65109802899704,22.8882008026223]}"
2022_01_01_25_0,14973,1905.6739130434783,0.106272526,0.10794487,2022-01-01,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52797597516883,23.05907171515174]}"
2022_01_01_26_0,14983,2863.1304347826085,0.096195266,0.11456483,2022-01-01,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58177203857377,23.050078509229134]}"
2022_01_01_27_0,14897,4600.0,0.24726354,0.34868902,2022-01-01,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51779382895755,23.18497659806816]}"
2022_01_01_28_0,15022,3491.891304347826,0.19112115,0.22878009,2022-01-01,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4939042288539,23.03209209738393]}"
