system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_01_0_0,15027,5525.565217391304,0.26382816,0.26010862,2022-01-01,0.2183544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50238510251333,12.869769404843844]}"
2022_01_01_1_0,15026,3921.0652173913045,0.17657717,0.19006404,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61333870918932,12.959701464069871]}"
2022_01_01_2_0,15061,4294.021739130435,0.21170929,0.1925166,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47890818744695,13.03164711145067]}"
2022_01_01_3_0,14980,4927.021739130435,0.22553848,0.24494094,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54572986971357,12.860776198921245]}"
2022_01_01_4_0,15080,4863.695652173913,0.26872262,0.3021973,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.42794400166188,12.986681081837665]}"
2022_01_01_5_0,14995,4820.5,0.23560458,0.24187666,2022-01-01,0.2292726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69969665755666,13.058626729218481]}"
2022_01_01_6_0,15058,3251.021739130435,0.16584753,0.3041237,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59208042148086,12.950708258147257]}"
2022_01_01_7_0,15008,4772.326086956522,0.18977273,0.30945334,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63179524515601,12.959701464069871]}"
2022_01_01_8_0,15103,2634.9565217391305,0.1318232,0.15230875,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5266605383323,12.977687875915066]}"
2022_01_01_9_0,15026,3921.0652173913045,0.17657717,0.19006404,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61333870918932,12.959701464069871]}"
2022_01_01_10_0,15014,3347.2391304347825,0.15368977,0.13757917,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66590389967529,12.950708258147257]}"
2022_01_01_11_0,15005,3886.3260869565215,0.16448466,0.19560401,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60972095473416,12.977687875915066]}"
2022_01_01_12_0,14970,2946.8260869565215,0.15904918,0.20211007,2022-01-01,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70923960715685,12.941715052224659]}"
2022_01_01_13_0,15004,3120.804347826087,0.16843309,0.20563775,2022-01-01,0.21919462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66098319806495,12.81581016930824]}"
2022_01_01_14_0,15007,3853.1304347826085,0.18770193,0.21228038,2022-01-01,0.22926961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73662445710512,13.058626729218481]}"
2022_01_01_15_0,15049,3739.021739130435,0.18891156,0.18034457,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52146827760272,13.049633523295883]}"
2022_01_01_16_0,14971,3861.8695652173915,0.16687088,0.19269377,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6102036323018,13.067619935141078]}"
2022_01_01_17_0,14924,3742.6304347826085,0.15125781,0.16281824,2022-01-01,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67959235995063,12.905742228534251]}"
2022_01_01_18_0,15037,3157.086956521739,0.15741493,0.16888207,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50259949338924,12.959701464069871]}"
2022_01_01_19_0,15056,3919.5652173913045,0.23691803,0.3238951,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47328300628692,13.013660699605474]}"
2022_01_01_20_0,14963,4819.826086956522,0.2081337,0.23639807,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68406192123193,13.067619935141078]}"
2022_01_01_21_0,15035,3724.1304347826085,0.18774109,0.20860215,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48498329882023,12.932721846302062]}"
2022_01_01_22_0,15012,3098.413043478261,0.16626392,0.13068035,2022-01-01,0.21919462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67020616484638,12.81581016930824]}"
2022_01_01_23_0,15063,3069.804347826087,0.1615983,0.15337224,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49617142325076,12.968694669992468]}"
2022_01_01_24_0,14977,4007.0,0.18649906,0.17719595,2022-01-01,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66653338257643,12.833796581153434]}"
2022_01_01_25_0,15058,2871.521739130435,0.13096237,0.11742391,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55354302500189,13.004667493682877]}"
2022_01_01_26_0,15014,3828.608695652174,0.17958783,0.24430984,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60892265180745,13.004667493682877]}"
2022_01_01_27_0,14997,5826.978260869565,0.2537215,0.3492126,2022-01-01,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54693645401716,13.130572376599297]}"
2022_01_01_28_0,15109,3031.3260869565215,0.14329088,0.1676972,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52023669285425,12.986681081837665]}"
2022_01_01_29_0,15049,3319.8695652173915,0.15621449,0.17591907,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4933712254059,12.959701464069871]}"
2022_01_01_30_0,15070,3923.021739130435,0.19273871,0.20256811,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47047358479354,13.004667493682877]}"
2022_01_01_31_0,15012,3791.282608695652,0.17015536,0.18974812,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59969271400652,13.004667493682877]}"
2022_01_01_32_0,15016,4756.04347826087,0.24823348,0.23152798,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51805602020366,12.860776198921245]}"
2022_01_01_33_0,15088,2851.108695652174,0.14110473,0.15085094,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53028429733926,12.959701464069871]}"
2022_01_01_34_0,15063,2732.521739130435,0.10411588,0.10442865,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55996230887627,12.995674287760263]}"
2022_01_01_35_0,14987,3911.7391304347825,0.19086306,0.18916295,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5448293926676,13.094599552908889]}"
2022_01_01_36_0,14939,3632.5652173913045,0.16876107,0.16338582,2022-01-01,0.21867813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70447745919991,12.896749022611653]}"
2022_01_01_37_0,14973,3926.0652173913045,0.1867029,0.19497655,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6222648466085,13.076613141063692]}"
2022_01_01_38_0,14951,3545.021739130435,0.15274587,0.19546694,2022-01-01,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61797265816418,13.121579170676698]}"
2022_01_01_39_0,15016,3671.478260869565,0.18200313,0.2179289,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52274572746543,12.905742228534251]}"
2022_01_01_40_0,15096,2516.391304347826,0.13321322,0.15745586,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52748487806075,12.950708258147257]}"
2022_01_01_41_0,15081,5073.152173913043,0.24828224,0.25420818,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4259775955434,12.950708258147257]}"
2022_01_01_42_0,15045,4750.369565217391,0.23712981,0.24460307,2022-01-01,0.22887136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50716095275686,13.121579170676698]}"
2022_01_01_43_0,15071,3275.0434782608695,0.1480654,0.15559708,2022-01-01,0.23011255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50941778240454,13.040640317373285]}"
2022_01_01_44_0,15096,4884.04347826087,0.21934687,0.24572529,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43917211042492,13.022653905528072]}"
2022_01_01_45_0,14958,2851.0434782608695,0.1415618,0.15471826,2022-01-01,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71484965700604,12.959701464069871]}"
2022_01_01_46_0,15041,3367.3695652173915,0.161246,0.14782609,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60532304523117,13.022653905528072]}"
2022_01_01_47_0,14999,3236.4347826086955,0.1539192,0.1609319,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64102351313932,12.959701464069871]}"
2022_01_01_48_0,15070,3923.021739130435,0.19273871,0.20256811,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47047358479354,13.004667493682877]}"
2022_01_01_49_0,14991,3948.086956521739,0.20032339,0.2581218,2022-01-01,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57536254364378,13.103592758831487]}"
2022_01_01_50_0,15021,3372.304347826087,0.15338008,0.16278696,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49659376004021,13.058626729218481]}"
2022_01_01_51_0,14986,5755.152173913043,0.21438222,0.3349598,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57763122276349,13.022653905528072]}"
2022_01_01_52_0,15107,2196.195652173913,0.11126177,0.11578006,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54874083330596,12.959701464069871]}"
2022_01_01_53_0,15090,4087.5434782608695,0.19955845,0.26585475,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46094869098884,12.914735434456848]}"
2022_01_01_54_0,15022,1949.8260869565217,0.09912349,0.07086479,2022-01-01,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63346099745496,12.905742228534251]}"
2022_01_01_55_0,15095,2857.6304347826085,0.1375773,0.13128242,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52866464140232,13.013660699605474]}"
2022_01_01_56_0,15004,4752.5,0.24952225,0.25136366,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51717366912143,12.887755816689056]}"
2022_01_01_57_0,14955,4068.8695652173915,0.18172401,0.19162713,2022-01-01,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71846720897352,12.941715052224659]}"
2022_01_01_58_0,15095,2226.478260869565,0.116753295,0.10351686,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5523703762737,12.941715052224659]}"
2022_01_01_59_0,15022,1949.8260869565217,0.09912349,0.07086479,2022-01-01,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63346099745496,12.905742228534251]}"
2022_01_01_60_0,15057,2756.0,0.12952748,0.109620094,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59488217322264,12.959701464069871]}"
2022_01_01_61_0,15095,5228.304347826087,0.24777111,0.27021185,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43275347389202,13.03164711145067]}"
2022_01_01_62_0,15115,3352.478260869565,0.15764648,0.18410042,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53391517264035,12.941715052224659]}"
2022_01_01_63_0,15062,2839.586956521739,0.09998533,0.05863847,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57922883624506,12.968694669992468]}"
2022_01_01_64_0,15013,4151.173913043478,0.1858509,0.16990797,2022-01-01,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74455437556176,12.995674287760263]}"
2022_01_01_65_0,15070,3923.021739130435,0.19273871,0.20256811,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47047358479354,13.004667493682877]}"
2022_01_01_66_0,15012,5411.130434782609,0.29205146,0.30796915,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52450343844333,12.851782992998647]}"
2022_01_01_67_0,14982,3307.0,0.1543726,0.1386051,2022-01-01,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72891184321948,13.004667493682877]}"
2022_01_01_68_0,14981,2961.282608695652,0.14487633,0.16522893,2022-01-01,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69559280611973,12.986681081837665]}"
2022_01_01_69_0,14993,4619.304347826087,0.18576808,0.2520924,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60946246687733,13.094599552908889]}"
2022_01_01_70_0,14981,4537.260869565217,0.23681532,0.20889196,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58997086467535,12.824803375230838]}"
2022_01_01_71_0,14992,4181.45652173913,0.16072117,0.18655434,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65353690812111,13.058626729218481]}"
2022_01_01_72_0,15009,4558.826086956522,0.22961986,0.15286827,2022-01-01,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49785510879538,12.914735434456848]}"
2022_01_01_73_0,14947,4531.891304347826,0.20947947,0.20322259,2022-01-01,0.21919462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65176023128353,12.81581016930824]}"
2022_01_01_74_0,15021,4300.891304347826,0.14801379,0.19627844,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59249928606516,13.040640317373285]}"
2022_01_01_75_0,15002,5365.434782608696,0.26138657,0.26177964,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51161004971371,12.869769404843844]}"
2022_01_01_76_0,15058,2405.5,0.11262701,0.113330975,2022-01-01,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54678010097476,12.923728640379464]}"
2022_01_01_77_0,14993,4881.695652173913,0.20763269,0.2365117,2022-01-01,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58671677866306,13.139565582521893]}"
2022_01_01_78_0,14973,3926.0652173913045,0.1867029,0.19497655,2022-01-01,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6222648466085,13.076613141063692]}"
2022_01_01_79_0,15049,3739.021739130435,0.18891156,0.18034457,2022-01-01,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52146827760272,13.049633523295883]}"
2022_01_01_80_0,15015,4142.826086956522,0.16793004,0.1589686,2022-01-01,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64567558451603,13.121579170676698]}"
2022_01_01_81_0,14982,3992.1521739130435,0.18840681,0.2272415,2022-01-01,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5384105248397,12.896749022611653]}"
2022_01_01_82_0,15009,4416.152173913043,0.19069481,0.2455687,2022-01-01,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67977160545696,13.112585964754102]}"
2022_01_01_83_0,15038,4466.804347826087,0.21798173,0.24300757,2022-01-01,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4986629110892,13.094599552908889]}"
2022_01_01_84_0,14944,2899.0434782608695,0.13957901,0.15954119,2022-01-01,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65276997695968,12.87876261076644]}"
