system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_01_4_0,14591,3879.2391304347825,0.16719575,0.21509185,2022-01-01,0.15517406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9182485648125,28.724791446390903]}"
2022_01_01_5_0,14429,4902.826086956522,0.21191697,0.2698968,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21757426013744,28.79673709377172]}"
2022_01_01_10_0,14555,3555.2608695652175,0.14707024,0.26700413,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1824771346355,28.6798254167779]}"
2022_01_01_11_0,14592,2848.4347826086955,0.1216182,0.1242047,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1203441573855,28.7068050345457]}"
2022_01_01_12_0,14544,3826.586956521739,0.20153445,0.2518745,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23373126712907,28.6798254167779]}"
2022_01_01_20_0,14379,3509.021739130435,0.17459296,0.18912923,2022-01-01,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20371162077625,28.805730299694318]}"
2022_01_01_24_0,14523,3889.391304347826,0.18443146,0.25448295,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18509365210616,28.571906945706672]}"
2022_01_01_26_0,14553,3122.5,0.13830712,0.14010532,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.119732919525,28.73378465231351]}"
2022_01_01_27_0,14424,4445.021739130435,0.19860908,0.25160107,2022-01-01,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05531232924119,28.868682741152536]}"
2022_01_01_30_0,14433,3737.1739130434785,0.16324584,0.19503,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96589119902788,28.73378465231351]}"
2022_01_01_31_0,14556,3326.2608695652175,0.14958796,0.15528043,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11611390480002,28.742777858236106]}"
2022_01_01_35_0,14410,4638.04347826087,0.22538158,0.23830211,2022-01-01,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04919642812877,28.83270991746213]}"
2022_01_01_36_0,14568,3366.8478260869565,0.17732283,0.20296839,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21448849626668,28.625866181242287]}"
2022_01_01_38_0,14453,4723.891304347826,0.20476657,0.22175446,2022-01-01,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13439103301374,28.850696329307333]}"
2022_01_01_41_0,14617,3395.6739130434785,0.1784053,0.14945334,2022-01-01,0.15437572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91595564566907,28.6798254167779]}"
2022_01_01_42_0,14446,4832.173913043478,0.21112008,0.27829385,2022-01-01,0.14417312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00757181220047,28.85968953522993]}"
2022_01_01_43_0,14384,4059.2391304347825,0.18671353,0.21396942,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00266803910529,28.76975747600391]}"
2022_01_01_45_0,14560,4324.152173913043,0.2506308,0.3040358,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23674762570117,28.697811828623102]}"
2022_01_01_48_0,14428,4078.586956521739,0.17827336,0.22463866,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97251594005458,28.742777858236106]}"
2022_01_01_50_0,14256,4232.04347826087,0.21139729,0.21242845,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99542380812856,28.787743887849114]}"
2022_01_01_54_0,14753,3356.978260869565,0.18639024,0.23774683,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15599331910794,28.64385259308749]}"
2022_01_01_55_0,14454,3828.195652173913,0.21177232,0.2581024,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03043312163538,28.751771064158707]}"
2022_01_01_57_0,14529,3660.108695652174,0.19293833,0.23349102,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24398209362779,28.6798254167779]}"
2022_01_01_59_0,14709,2942.804347826087,0.11891342,0.13571194,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13913352500983,28.634859387164884]}"
2022_01_01_60_0,14621,2578.021739130435,0.11351947,0.07481461,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10346398669222,28.697811828623102]}"
2022_01_01_63_0,14615,3175.3260869565215,0.13435704,0.15754066,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0829588114601,28.697811828623102]}"
2022_01_01_64_0,14550,2845.2608695652175,0.076908514,0.054837923,2022-01-01,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2669264637734,28.724791446390903]}"
2022_01_01_67_0,14542,3077.195652173913,0.14307915,0.21698408,2022-01-01,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25306241062255,28.73378465231351]}"
2022_01_01_68_0,14560,3933.891304347826,0.11045135,0.20504138,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21565030216148,28.724791446390903]}"
2022_01_01_73_0,14622,4190.239130434783,0.19941415,0.24440673,2022-01-01,0.14638105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10096369893202,28.52694091609366]}"
2022_01_01_74_0,14423,4273.326086956522,0.21773902,0.2255152,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10165061397667,28.77875068192651]}"
2022_01_01_80_0,14449,4547.434782608696,0.21811365,0.23602726,2022-01-01,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15492627796739,28.850696329307333]}"
2022_01_01_82_0,14445,4306.869565217391,0.22186857,0.30359557,2022-01-01,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2062643903515,28.850696329307333]}"
2022_01_01_84_0,14462,5641.282608695652,0.29460382,0.4408194,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16028945990051,28.607879769397083]}"
2022_01_01_86_0,14595,4674.347826086957,0.21151301,0.27226913,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20126465256094,28.607879769397083]}"
2022_01_01_87_0,14555,4959.847826086957,0.22151169,0.31879643,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20490020296225,28.598886563474473]}"
2022_01_01_88_0,14423,4598.5,0.2074674,0.26144835,2022-01-01,0.16671784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25502756225845,28.805730299694318]}"
2022_01_01_92_0,14538,3678.6304347826085,0.18337573,0.17761695,2022-01-01,0.16577712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27297123971675,28.607879769397083]}"
2022_01_01_94_0,14391,4417.065217391304,0.20978276,0.23709798,2022-01-01,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06918287539145,28.85968953522993]}"
2022_01_01_95_0,14587,3868.282608695652,0.17213044,0.21042253,2022-01-01,0.15437572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90935301402105,28.67083221085529]}"
2022_01_01_96_0,14523,4277.804347826087,0.20088048,0.24047059,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17121046638462,28.58090015162927]}"
2022_01_01_97_0,14487,4200.217391304348,0.17151083,0.2759605,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.061206763641,28.751771064158707]}"
2022_01_01_98_0,14453,3978.4565217391305,0.17706606,0.21500139,2022-01-01,0.14417312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94351070675036,28.814723505616925]}"
2022_01_01_99_0,14548,4183.326086956522,0.19181433,0.34311998,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21624245046903,28.697811828623102]}"
2022_01_01_101_0,14581,3295.413043478261,0.15037338,0.19335619,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12998903422482,28.73378465231351]}"
2022_01_01_102_0,14606,3578.5652173913045,0.1732703,0.19091837,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10542830414151,28.616872975319676]}"
2022_01_01_103_0,14423,4414.478260869565,0.2031547,0.260738,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08474522515947,28.76975747600391]}"
2022_01_01_104_0,14567,3750.6739130434785,0.14996056,0.21155775,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19635151729891,28.67083221085529]}"
2022_01_01_107_0,14635,3029.391304347826,0.14389646,0.12943004,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11567297943793,28.616872975319676]}"
2022_01_01_110_0,14517,3595.0652173913045,0.1694963,0.19490851,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18873694749888,28.56291373978407]}"
2022_01_01_111_0,14478,4109.565217391304,0.19034863,0.28375965,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20786100424077,28.76975747600391]}"
2022_01_01_112_0,14620,4318.847826086957,0.20646748,0.3011337,2022-01-01,0.14638105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1127139100358,28.598886563474473]}"
2022_01_01_117_0,14405,4727.760869565217,0.21640517,0.20643643,2022-01-01,0.16671784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25143293636235,28.814723505616925]}"
2022_01_01_118_0,14584,3748.3695652173915,0.16977239,0.19161347,2022-01-01,0.15437572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91300247731316,28.661839004932695]}"
2022_01_01_119_0,14606,3578.5652173913045,0.1732703,0.19091837,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10542830414151,28.616872975319676]}"
2022_01_01_120_0,14508,5458.608695652174,0.24870871,0.25628632,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16392851721717,28.598886563474473]}"
2022_01_01_121_0,14460,4081.695652173913,0.19127358,0.2451306,2022-01-01,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04069100230393,28.751771064158707]}"
2022_01_01_123_0,14619,3273.978260869565,0.123357326,0.11042136,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09983721982415,28.7068050345457]}"
2022_01_01_125_0,14559,3899.086956521739,0.1817363,0.22740538,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24159783268296,28.634859387164884]}"
2022_01_01_127_0,14584,4242.239130434783,0.19115667,0.27171344,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20193397394124,28.58090015162927]}"
2022_01_01_130_0,14388,3598.608695652174,0.17312427,0.21135017,2022-01-01,0.16577712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22969462167141,28.56291373978407]}"
2022_01_01_134_0,14535,2015.804347826087,0.08192911,0.07073666,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14688489724544,28.742777858236106]}"
2022_01_01_135_0,14535,2015.804347826087,0.08192911,0.07073666,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14688489724544,28.742777858236106]}"
2022_01_01_136_0,14580,2218.6304347826085,0.101700574,0.097303204,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19455921233212,28.751771064158707]}"
2022_01_01_137_0,14427,4425.173913043478,0.18385102,0.23724766,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20731195745918,28.79673709377172]}"
2022_01_01_138_0,14667,2606.1739130434785,0.10839216,0.15297094,2022-01-01,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12161696615198,28.652845799010088]}"
2022_01_01_140_0,14555,4959.847826086957,0.22151169,0.31879643,2022-01-01,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20490020296225,28.598886563474473]}"
2022_01_01_141_0,14622,3975.6739130434785,0.17427075,0.19753492,2022-01-01,0.15517406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91163342276967,28.715798240468306]}"
2022_01_01_142_0,14486,4565.195652173913,0.20776466,0.30515015,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21451647322093,28.77875068192651]}"
2022_01_01_143_0,14546,3476.3260869565215,0.13834146,0.13653824,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2264950380851,28.697811828623102]}"
