system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_01_1_0,15251,2946.1521739130435,0.13326657,0.12966931,2022-01-01,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89955719387882,19.066088285516518]}"
2022_01_01_3_0,15181,1915.5581395348838,0.07362879,0.06920476,2022-01-01,0.19521318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82373379824232,18.95816981444529]}"
2022_01_01_5_0,15040,4804.204545454545,0.20316392,0.24794047,2022-01-01,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98127716510426,19.165013550665137]}"
2022_01_01_6_0,15299,3232.978260869565,0.14252089,0.16393442,2022-01-01,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87262393424557,19.048101873671314]}"
2022_01_01_7_0,15321,2070.2608695652175,0.1491324,0.15409043,2022-01-01,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91858756592991,19.066088285516518]}"
2022_01_01_9_0,15251,2946.1521739130435,0.13326657,0.12966931,2022-01-01,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89955719387882,19.066088285516518]}"
2022_01_01_10_0,15132,3447.304347826087,0.17066519,0.13587022,2022-01-01,0.21446697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95269162594386,19.05709507959392]}"
2022_01_01_11_0,15388,2387.5,0.1296737,0.14253491,2022-01-01,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88843860742244,19.08407469736172]}"
2022_01_01_14_0,15162,2945.282608695652,0.15953039,0.1018884,2022-01-01,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.02888157338081,19.165013550665137]}"
2022_01_01_15_0,15023,5596.478260869565,0.18361458,0.30958077,2022-01-01,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.80593047018138,19.156020344742537]}"
2022_01_01_16_0,15170,4587.391304347826,0.22643335,0.32176638,2022-01-01,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8900455570788,19.17400675658774]}"
2022_01_01_20_0,15177,3516.2391304347825,0.15567131,0.17714491,2022-01-01,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.96621676656487,19.17400675658774]}"
2022_01_01_22_0,15093,2706.285714285714,0.1227234,0.16105479,2022-01-01,0.21269277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.96015695505,18.922196990754884]}"
2022_01_01_25_0,15199,2977.8260869565215,0.13430758,0.1515536,2022-01-01,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84321635582553,19.111054315129532]}"
2022_01_01_26_0,15283,3080.2608695652175,0.13718122,0.18952712,2022-01-01,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90032297934106,19.111054315129532]}"
2022_01_01_31_0,15274,3096.086956521739,0.13255262,0.16527076,2022-01-01,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88128743816921,19.111054315129532]}"
2022_01_01_34_0,15169,3018.586956521739,0.14953448,0.17821957,2022-01-01,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83925577693213,19.102061109206925]}"
2022_01_01_35_0,15225,3133.217391304348,0.12771946,0.12682915,2022-01-01,0.19079243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82580687299158,19.200986374355544]}"
2022_01_01_37_0,15044,5811.717391304348,0.292173,0.39140576,2022-01-01,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9035469166616,19.18299996251034]}"
2022_01_01_38_0,15035,5358.347826086957,0.2564326,0.32829946,2022-01-01,0.1944421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90443113441769,19.227965992123355]}"
